Id,Name,Language,keywords
1082326,shadows of sounds (lorimer #3),eng,lorimer_#3 alex_gray allison_and_busby eng millar orchestra murder murdered george
1059039,"making waves (making waves, #1)",eng,"making_waves,_#1 katherine_applegate alloybooks eng kate kates roommates justin garret"
1056477,the complete idiot's guide to chess,en-GB, patrick_wolff alpha en-GB chess tactics beginners play game
1033959,uprising of hope: sharing the zapatista journey to alternative development,eng, duncan_earle altamira_press eng ethnography anthropology zapatistas anthropologists chiapas
1080711,the ethnographic i: a methodological novel about autoethnography,eng, carolyn_ellis altamira_press eng ethnographic autoethnography ethnography literary methodological
1080712,"essential ethnographic methods: observations, interviews, and questionnaires (ethnographer's toolkit, #2)",eng,"ethnographer's_toolkit,_#2 stephen_l._schensul altamira_press eng ethnographic ethnography ethnographically ethnographies ethnographers"
1003658,fiction and social research: by ice or fire,en-US, anna__banks altamira_press en-US fiction ethnography narratives narrative writers
1089690,recording oral history: a guide for the humanities and social sciences,en-US, valerie_raleigh_yow altamira_press en-US historians ethnographic oral history anthropology
1038076,my first time: gay men describe their first same-sex experience,en-GB, jack_hart alyson_books en-GB firstperson stories author gay men
1063006,"the hidden law (henry rios mystery, #4)",en-GB,"henry_rios_mystery,_#4 michael_nava alyson_books en-GB rios ruiz novel latino chicano"
1063008,"the little death (henry rios mystery, #1)",eng,"henry_rios_mystery,_#1 michael_nava alyson_books eng rios paris murder francisco noir"
1063143,swords of the rainbow,eng, eric_garber alyson_books eng lesbian dorothy rainbow sword swords
1074665,a life in balance: nourishing the four roots of true happiness,eng, kathleen_a._hall amacom/american_management_association eng spiritual selfhelppsychology happiness self health
1049058,fox on wheels,eng, edward_marshall amer_school_pub eng fox foxs babysit mom gangway
1065926,collection conundrums: solving collections management mysteries,eng, rebecca_a._buck american_alliance_of_museums_press eng museums museum collections collection documents
1057508,"kirsten's surprise: a christmas story (american girls: kirsten, #3)",eng,"american_girls:_kirsten,_#3 janet_beeler_shaw american_girl_publishing_inc eng kirsten lucia holiday candles christmas"
1041487,adolescent suicide: assessment and intervention,eng, alan_l._berman american_psychological_association_(apa) eng suicidal suicide atriskforsuicide adolescent malpractice
1063313,the wilder nonprofit field guide to conducting successful focus groups,eng, judith_sharken_simon amherst_h._wilder_foundation eng focus guidance participants worksheets volunteer
1063430,the pursuit of happyness,eng, chris_gardner amistad eng ragstoriches fatherless gardner horatio homeless
1049045,donavan's word jar,eng, monalisa_degross amistad eng words homeschooling childrendonavan books word
1051406,danitra brown leaves town,eng, nikki_grimes amistad_press eng summer summers poems fireflies danitra
1088086,medium and large format photography: moving beyond 35mm for better pictures,eng, roger_hicks amphoto_books eng 35mm 35mmin formats photographers photography
1082081,becoming an accredited genealogist: plus 100 tips to ensure your success (revised),en-US, karen_clifford ancestry.com en-US genealogists genealogist genealogical historian researcher
1001830,in the wilderness: coming of age in unknown country,eng, kim_barnes anchor eng wilderness memoir poet poets writer
1003180,the polar express,eng, chris_van_allsburg andersen eng santa christmas reindeers gift medal
1026629,baby love,eng, joyce_maynard andre_deutsch eng sandy tara wanda childless mothers
1064938,the mini page book of presidents,eng, betty_debnam andrews_and_mcmeel eng attractions tourist geography states entries
1039394,the book of bad habits,eng, patrick_regan andrews_mcmeel_publishing eng nuns convent nunnerythe vaticans church
1082173,shadow of death,eng, william_x._kienzle andrews_mcmeel_publishing eng detective koesler kienzle murders kienzles
1008607,hans and heinz kirch; with 'immensee' and 'journey to a hallig',eng, theodor_storm angel_books eng novellas tale journey storms baltic
1083886,the grand canyon and the southwest,eng, ansel_adams ansel_adams eng southwestern southwest canyon landscape photographs
1041477,shrub roses and climbing roses,en-US, david__austin antique_collectors'_club en-US roses rose photographs book breeder
1021015,american tobacco cards: price guide & checklist,eng, robert_s._forbes antique_trader_books eng cards prices 19th checklists centuries
1099014,the norman invasion of ireland,eng, richard_roche anvil_books eng ireland correspondent irish roche farreaching
1017837,living with the enemy,eng, donna_ferrato aperture eng narratives photographs abusers battered shelters
1073113,an uncertain grace,eng, sebastião_salgado aperture eng mudcovered explores desert africa planets
1074702,"apollo 11: the nasa mission reports, volume 1 (apogee books space series #5)",eng,apogee_books_space_series_#5 robert_godwin apogee_books eng apollo lunar nasa moons armstrong
1086412,"quiet water new york, 2nd: canoe & kayak guide",eng, john_hayes appalachian_mountain_club_books eng ponds lakes canoeing kayaking waterways
1060289,on singing onstage,eng, david_craig applause_books eng musicals theatre musical singing actors
1010958,return of the squirtle squad (pokemon chapter books #8),eng,pokemon_chapter_books_#8 tracey_west apple_signature_(scholastic) eng squirtle pokemon ash turtle ashs
1071597,what mrs. fisher knows about old southern cooking,eng, abby_fisher applewood_books eng recipes cookbook africanamerican south applewoods
1067377,family nurse or; companion of the american frugal housewife,eng, lydia_maria_francis_child applewood_books eng lydia mrs families health home
1067376,the american frugal housewife: dedicated to those who are not ashamed of economy,eng," lydia_maria_francis_child applewood_books_:_bedford,_massachusetts eng recipes housekeepers book editions parenting"
1069729,pro apache (expert's voice),en-US, peter_wainwright apress en-US apache perl php scripting python
1044612,sharepoint 2003 user's guide,eng, seth_bates apress eng sharepoint microsoft guide technologies sharepointbased
1054883,spirit of the season,eng, donna_hill arabesque eng tales kwanzaa christmas holiday bestseller
1025640,the rainforest grew all around,eng, susan_k._mitchell arbordale_publishing eng rainforest jungle forest grass canopy
1016969,the hero's daughter,eng, andreï_makine arcade_publishing eng andrei tatiana makine kgb moscow
1087924,because of the cats,eng, nicolas_freeling arcadia_books eng van gang amsterdam cats police
1060616,the eastland disaster (images of america: illinois),eng, ted_wachholz arcadia_publishing eng 1915 picnic chicago excursion event
1078611,running springs (images of america: california),eng, stanley_e._bellamy arcadia_publishing eng valley valleys springs harvest bernardino
1042387,westford (images of america: massachusetts),eng, westford_league_of_women_voters arcadia_publishing eng westford mills town massachusetts village
1060444,forgotten chicago (images of america: illinois),eng, john_paulett arcadia_publishing eng coliseum chicagos stadium chicago chicagoans
1058031,temecula (images of america: california),eng, loretta_barnett arcadia_publishing eng temecula pechanga riverside southwest luiseno
1035048,greenlawn: a long island hamlet (images of america: new york),eng, louise_dougher arcadia_publishing eng greenlawncenterport greenlawnwith smalltown greenlawn greenlawnoriginally
1013637,trenton (images of america: new jersey),eng, cathleen_crown arcadia_publishing eng trenton quakers 1850 burlington jersey
1055846,yorktown (images of america: new york),eng, linda__cooper arcadia_publishing eng yorktown westchester teatown york manor
1011887,oakland (images of america: pennsylvania),eng, walter_c._kidney arcadia_publishing eng oakland pittsburgh clubhouses downtown neighborhood
1088179,ocean city: volume ii (images of america: maryland),eng, nan_devincent-hayes arcadia_publishing eng coastal boardwalk seaside shore beach
1059165,the new york central system (images of rail),en-US, michael_leavy arcadia_publishing en-US railroads railroad commodore york rail
1058148,"hydroplane racing in seattle, washington (images of sports)",eng, david_d._williams arcadia_publishing_(sc) eng seattle hydroplane hydro seattles racing
1071844,whitman (images of america: massachusetts),eng, david_hickey arcadia_publishing_(sc) eng whitman trolley town smalltown cookie
1097094,birmingham's theater and retail district (images of america: alabama),eng, tim_hollis arcadia_publishing_(sc) eng downtown mall birmingham streets shopping
1025364,arlington heights: downtown renaissance (images of america: illinois),eng, janet_souter arcadia_publishing_(sc) eng arlington downtown redevelopment towns railroad
1056826,fallbrook (images of america: california),eng, rebecca_farnbach arcadia_publishing_(sc) eng harvests pioneers settlers towns settlements
1052428,"the neighborhoods of logan, scott, and thomas circles (images of america: d.c.)",eng, paul_k._williams arcadia_publishing_(sc) eng hangmans neighborhoods parks circles washingtons
1066648,northampton (images of america: massachusetts),eng, james_m._parsons arcadia_publishing_(sc) eng northampton connecticut massachusetts utopian valley
1052998,auguste rodin,eng, rainer_maria_rilke archipelago_books eng poet poets sculptor goethe auguste
1067489,yalo,en-US, elias_khoury archipelago_books en-US yalo beirut tortured book hypnotic
1085985,the king james version of the english bible,eng," david_daiches archon_books_(hamden,_ct) eng 1611 hebrew bible james scholars"
1072269,wings: backstage with cirque du soleil!!!,eng, veronique_vial arena_editions eng cirque circus soleil troupe performers
1072325,"milk, the deadly poison",eng, robert___cohen argus_publishing eng dairy lactose milk dairymen antihistamines
1075314,foolish notions,eng, aris_whittier aris_whittier eng hardnosedceo samantha james exgirlfriend intimacy
1060012,flying saucers: a modern myth of things seen in the skies,eng, c.g._jung ark/routledge eng ufos jung phenomena believe fascinating
1084278,jo returns to the chalet school,eng, elinor_m._brent-dyer armada eng schoolgirl school polly novel joey
1084274,peggy of the chalet school,eng, elinor_m._brent-dyer armada eng peggy chalet bettany rebellion school
1094474,the mystery of the chinese junk,eng, franklin_w._dixon armada eng ferry ship hardys chinese service
1051841,taran wanderer (the chronicles of prydain #4),eng,the_chronicles_of_prydain_#4 lloyd_alexander armada_lions eng taran tarans prydain journeys enchanter
1016032,the iron pirate,eng, douglas_reeman arrow eng admiral 1944 hope prinz pilot
1066471,a demon in my view,eng, ruth_rendell arrow eng psychopath arthur psychopathic arthurs novel
1066210,city of joy,eng, dominique_lapierre arrow eng teresa saints catholic kovalski calcutta
1033957,"brother grimm (jan fabel, #2)",eng,"jan_fabel,_#2 craig_russell arrow eng grimm hansel fears murder gretel"
1034476,killing for company: the case of dennis nilsen,eng, brian_masters arrow eng nilsen nilsens murders dennis murderer
1050066,anatasia syndrome and other stories (adult fiction ii),eng, mary_higgins_clark arrow eng writer lottery lost york 17thcentury
1022582,"ireland awakening (the dublin saga, #2)",eng,"the_dublin_saga,_#2 edward_rutherfurd arrow eng irish cromwell dublin ireland joyces"
1006997,a buyer's market (a dance to the music of time #2),eng,a_dance_to_the_music_of_time_#2 anthony_powell arrow eng nick literature debutante literary jenkins
1071114,the hiram key,en-GB, christopher____knight arrow en-GB gospels freemasons testament freemasonry temple
1094776,light a penny candle,en-GB, maeve_binchy arrow en-GB connors connor elizabeth paperback ireland
1047672,deadly decisions (temperance brennan #3),eng,temperance_brennan_#3 kathy_reichs arrow eng biker bikers killers gangs brennan
1070715,"the jewel in the crown (the raj quartet, #1)",en-GB,"the_raj_quartet,_#1 paul_scott arrow en-GB angloindian 1942 colonial daphne quartetindia"
1050054,the anastasia syndrome and other stories,eng, mary_higgins_clark arrow eng novella haunting suspense demons bombings
1035375,"barracuda 945 (admiral arnold morgan, #6)",eng,"admiral_arnold_morgan,_#6 patrick_robinson arrow eng missiles barracuda weapon warfare terrorist"
1019038,dare to be a daniel: then and now,eng, tony_benn arrow eng tony politicsdare benn benns ramsay
1022791,the face of trespass,eng, ruth_rendell arrow eng drusilla novelist affair derelict deception
1022783,the keys to the street,eng, ruth_rendell arrow eng mary murder jago marrow homeless
1024140,"love, medicine and miracles",eng, bernie_s._siegel arrow eng koje prosvećivanju događaju pokazuje pacijenata
1084335,the naughtiest girl in the school,eng, enid_blyton arrow_books eng elizabeth boarding naughty school easy
1042386,across the river and into the trees,en-GB, ernest_hemingway arrow_books en-GB hemingways venice river lost tale
1016034,"dust on the sea (blackwood family, #4)",eng,"blackwood_family,_#4 douglas_reeman arrow_books eng blackwood marine marines trench seafaring"
1084820,"shadows in bronze (marcus didius falco, #2)",en-GB,"marcus_didius_falco,_#2 lindsey_davis arrow_books_ltd en-GB didius rome vespasian marcus falco"
1021101,ottawa: the unknown city,eng, rob_mclennan arsenal_pulp_press eng ottawa smalltown capital city birthplace
1028853,the carnivorous lamb,eng, agustín_gómez_arcos arsenal_pulp_press eng carnivorous lamb franco gomezarcos spain
1005719,norman rockwell's faith of america,eng, fred_bauer artabras eng rockwell rockwells depictions artists artist
1048008,the real billy the kid,eng, miguel_antonio_otero arte_publico_press eng billy miguel outlaw otero infamous
1026064,i am inclined to think: musings on sherlock holmes and arthur conan doyle,eng, barbara_roden ash_tree_pr eng sherlockian sherlockians holmes sherlock doyle
1061411,aylmer vance: ghost-seer (ash-tree press occult detectives library),eng, alice_askew ash-tree_press eng atherton gertrude athertons countess supernatural
1098131,thomas harriot : an elizabethan man of science,eng, robert____fox ashgate_publishing eng harriot harriots astronomer galileos mathematician
1097912,india and tibet,eng, francis_younghusband asian_educational_services eng tibet lhasa invasion treaty invaded
1022149,highlander: scotland the brave (highlander),en-US, jennifer_roberson aspect en-US macleod duncan scotland immortals culloden
1018297,the younger gods (the dreamers #4),en-US,the_dreamers_#4 david_eddings aspect en-US vlagh dreamers allies attack gods
1014474,dark matter: a century of speculative fiction from the african diaspora,en-US, sheree_thomas aspect en-US anthologys anthology blacks dark author
1098647,corporations (emanuel law outlines),eng, steven_l._emanuel aspen_publishers eng shareholder shareholders securities takeoversdividends insider
1090030,"evidence: text, problems, and cases",eng, ronald_jay_allen aspen_publishers eng trial testimony evidence casebook law
1085957,happy times,eng, lee_radziwill assouline eng times happy memories woman radziwill
1076482,the light of paris,eng, jean-michel_berts assouline_publishing eng paris seine francois boulevards novelist
1099668,obelix and co,eng, rené_goscinny asterix eng caesar caius julius gauls wealth
1075700,"asterix and cleopatra (asterix, #6)",eng,"asterix,_#6 rené_goscinny asterix eng cleopatra cleopatras egypt alexandria caesar"
1054964,ms. glee was waiting,eng, donna__hill atheneum_books eng laura piano lesson reasons attend
1030346,squish!: a wetland walk,eng, nancy_luenn atheneum_books eng wetlands wetland habitat environment animals
1052612,six days in october: the stock market crash of 1929; a wall street journal book,eng, karen_blumenthal atheneum_books_for_young_readers eng 1929 stockmarket investing stocks greed
1094933,the folk keeper,eng, franny_billingsley atheneum_books_for_young_readers eng corinna rhysbridge orphan folk cold
1024473,the tenth good thing about barney,eng, judith_viorst atheneum_books_for_young_readers eng barney cat funeral dying died
1012824,castaway cats,eng, lisa_wheeler atheneum/richard_jackson_books eng isle ocean cricket shipwreck feline
1086480,the shadow matrix,eng, marion_zimmer_bradley atlantic_books eng darkover margaret margarets mikahilfind heir
1096288,wikinomics: how mass collaboration changes everything,eng, don_tapscott atlantic_books_(uk) eng architecture corporate collaboration business management
1097547,"blood, class and empire: the enduring anglo-american relationship",en-GB, christopher_hitchens atlantic_books_(uk) en-GB churchill bond britains 911 terrorist
1089379,clausewitz's 'on war': a biography,eng, hew_strachan atlantic_books_ltd. eng wars war treatises battle napoleonic
1070916,the long emergency: surviving the converging catastrophes of the twenty-first century,en-US, james_howard_kunstler atlantic_monthly_press en-US globalism economy urgency unsustainable americans
1009363,jesus saves,eng, darcey_steinke atlantic_monthly_press eng saves sacred abducted book troubled
1033886,on the outside looking in: a year in an inner city high school,en-GB, cristina_rathbone atlantic_monthly_press en-GB gangs bronx prison narratives gang
1060192,the home mortgage book: insider information your banker & broker don't want you to know,eng, dale__mayer atlantic_publishing_company_(fl) eng mortgage mortgages mortgageatlantic lenders loans
1046183,a hungry heart: a memoir,en-US, gordon_parks atria_books en-US gordon photographer harlem photography parks
1026894,quick fit: the complete 15-minute no-sweat workout,eng, richard_r._bradley atria_books eng workouts workout exercise aerobic fitter
1058874,"stolen water: saving the everglades from its friends, foes, and florida",eng, w._hodding_carter_iv atria_books eng everglades waterway conservation wilderness carter
1009499,"incas: the gold of cuzco (incas, #2)",en-US,"incas,_#2 antoine_b._daniel atria_books en-US incas incan conquistadors anamaya anamayas"
1054636,the camino: a journey of the spirit,eng, shirley_maclaine atria_books eng shirley shirleys pilgrimage journey voyage
1097911,"incas: the puma's shadow (incas, #1)",en-US,"incas,_#1 antoine_b._daniel atria_books en-US anamaya anamayas incan conquistador huayna"
1081054,spy dust: two masters of disguise reveal the tools and operations that helped win the cold war,eng, antonio_j._méndez atria_books eng cias kgb cia kgbs spy
1042112,"witch of the north (dragon's heirs, #2)",eng,"dragon's_heirs,_#2 courtway_jones atria_books eng king arthurs legends morgan dragons"
1068789,"the black angel (charlie parker, #5)",eng,"charlie_parker,_#5 john_connolly atria_books eng parker parkers angel souls charlie"
